protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
COCA1,COL12A1,13974000,150230000,22130000,89440000,63896000,140700000,83257000,88098000,31564000,15212000,55623000,1999900,8123600,18670000,6546800,5005900,19695000,8153600,2512600,6528000,29234000,14514000
PGBM,HSPG2,26264000,60078000,32797000,63251000,78976000,49528000,13075000,18611000,3710300,12435000,4863100,11621000,9347900,9919300,20650000,5174900,17537000,17898000,8410200,12102000,9268500,14363000
MUC5B,MUC5B,1643800,6243900,10072000,3523100,5673300,681800,3729500,40687,36959000,13790000,101730000,10085000,73909,11318000,253190000,65469000,1099600,1369700,11916000,9891100,1746800,15200000
CO5A1,COL5A1,1723400,14081000,6873200,13470000,11961000,11099000,3251000,22713000,2420000,2397100,5730300,624200,NA,2389600,628080,912170,2264700,1021200,1105300,524630,8635400,2631400
TGM2,TGM2,191620000,38980000,224980000,41420000,58677000,59960000,36047000,142230000,2821100000,104430000,24073000,156740000,41613000,16813000,394870000,24026000,1196000000,93515000,692640000,178930000,276120000,213880000
PLAK,JUP,91174000,67698000,42588000,39204000,52134000,120330000,103550000,18355000,3671100,9419200,8988400,11648000,11882000,3928800,17367000,8091400,34598000,50188000,14714000,14943000,18744000,29745000
TSP1,THBS1,5804300,156070000,13811000,95825000,59079000,86886000,45509000,28008000,75388000,11831000,14166000,7514800,8946400,33869000,14830000,7498100,24350000,17893000,8590000,14815000,12445000,8695000
6PGD,PGD,132450000,96350000,150020000,189200000,2291300000,414840000,227350000,129010000,145310000,193620000,115770000,123830000,49629000,175980000,89106000,72239000,120710000,136500000,143420000,240160000,147890000,247810000
K2C5,KRT5,33208000,9870000,12621000,8982500,20189000,53354000,117590000,9219100,2554500,2532800,1697600,5962500,3342700,799310,1909600,5034000,10259000,6510000,3643200,4949800,2896800,5115500
K2C7,KRT7,22025000,908430,4410500,13478000,13322000,950620,4020000,2796300,25027000,41307000,21822000,47437000,17390000,10820000,31278000,31680000,76554000,132480000,5779100,38045000,67310000,24675000
K1C18,KRT18,60032000,18243000,39103000,39896000,50513000,5746100,128230000,6335400,162260000,163700000,286710000,325870000,125560000,36323000,253520000,71078000,1088900000,594920000,60797000,298240000,279000000,591030000
FBLN2,FBLN2,22917000,50819000,48217000,83387000,112960000,194300000,102120000,144440000,56503000,41903000,43246000,18670000,4529000,6927900,63288000,11665000,22331000,18551000,52431000,20974000,39205000,22136000
EST1,CES1,53214000,42965000,85965000,41857000,895970000,329130000,42653000,34012000,51527000,45738000,21132000,11893000,24680000,14165000,76818000,20545000,10598000,20346000,140430000,110720000,61883000,59356000
TBB3,TUBB3,14334000,31188000,18967000,17993000,22736000,25411000,21308000,17255000,30822000,53481000,27875000,23625000,52151000,15794000,30498000,19463000,240680000,293350000,3629800,84918000,95101000,46921000
TFR1,TFRC,28590000,107910000,22960000,68434000,124720000,76841000,375560000,46861000,56806000,35679000,22362000,29079000,8335600,13238000,10353000,28665000,74570000,55931000,14191000,15253000,16800000,49996000
1433S,SFN,240360000,278390000,225810000,78969000,167770000,1093100000,136020000,45380000,96087000,57148000,49628000,45234000,47202000,44437000,138610000,43633000,136580000,224330000,76184000,128680000,108710000,64529000
F16P1,FBP1,38685000,16838000,54318000,39676000,45640000,64571000,48228000,28491000,257910000,490130000,82588000,141590000,88041000,50684000,130150000,62700000,39445000,242430000,138640000,246670000,126190000,342070000
AK1C3,AKR1C3,59811000,68885000,99627000,48134000,117510000,689020000,27156000,36540000,58237000,9090100,34787000,71003000,28063000,34860000,21064000,31220000,50313000,55300000,39276000,60670000,29545000,12370000
PTN12,PTPN12,11519000,52214000,42154000,31689000,51721000,6358300,15662000,90479000,19071000,5097800,19872000,7473300,2658300,11290000,6583500,6738300,13425000,9465200,3339800,10421000,34841000,11745000
CBR1,CBR1,159180000,143000000,92924000,45118000,906580000,920860000,130490000,69678000,158080000,154070000,45637000,184660000,53449000,7325400,124700000,23701000,108460000,114510000,92800000,74850000,61029000,157280000
SPB5,SERPINB5,96253000,111140000,52246000,26495000,58258000,195980000,86566000,16576000,6702100,17570000,3006300,2719500,2249400,16798000,3644000,47717000,25094000,9308900,8232500,3947300,31461000,11971000
AL3A1,ALDH3A1,11669000,24468000,19861000,12310000,40999000,1231500000,21337000,16871000,21793000,17453000,19766000,12416000,6090600,3661800,11684000,6181700,20621000,17074000,44090000,9679000,19427000,12098000
SERA,PHGDH,51462000,48151000,11876000,41732000,90503000,45088000,89079000,15654000,16059000,20347000,5057000,17847000,4718500,2927300,10043000,13774000,15069000,8556100,12469000,7956500,22089000,25149000
ACSL5,ACSL5,1513400,951300,3004800,1212000,1233400,1310500,2568500,1668300,21497000,7335400,4060300,9030100,6808600,731410,14960000,1757100,24253000,17500000,4834700,4876100,2750200,36423000
NHRF1,NHERF1,50010000,26068000,38879000,52365000,308560000,59453000,69915000,26604000,17845000,14985000,3705900,25170000,12660000,70182000,18968000,30658000,26688000,18483000,21444000,16773000,38458000,32400000
PCAT1,LPCAT1,3916700,1563200,1715500,3840900,2368800,1787000,2964400,853970,4749400,10005000,3349500,3411700,11267000,1509600,5526700,1741600,12309000,33704000,3118100,9217500,4327400,17873000
SUSD2,SUSD2,8096200,1989600,4400600,25505000,6118700,2723000,3078300,8482900,8775200,9596800,5165500,5987700,21711000,2153800,21145000,4358700,10984000,51325000,302150000,34157000,13103000,49751000
CCD80,CCDC80,323160,6781300,3521300,3170500,2712800,7121500,2367100,17119000,2041100,1731600,1716200,427840,154450,967390,957420,361970,810130,952130,1714700,465210,2429100,1185200
UCHL1,UCHL1,16149000,324800000,25425000,165700000,1776400000,179760000,133190000,101450000,32909000,59763000,25428000,9761300,6951400,8662800,24457000,8433500,11518000,612320000,34047000,67261000,33034000,19393000
S10A9,S100A9,30760000,132650000,609580000,552650000,142500000,141960000,130050000,60582000,9920700,33072000,6457900,92968000,18861000,305090000,21717000,41603000,49527000,7875500,70219000,18990000,14204000,62600000
GTR1,SLC2A1,33306000,79816000,21002000,95265000,136430000,335790000,372220000,26437000,17296000,28824000,16465000,16845000,24323000,34654000,13834000,23283000,48920000,66748000,21720000,29369000,21046000,30395000
GSTM2,GSTM2,24310000,22157000,22872000,15620000,196010000,110640000,25502000,18401000,22678000,17448000,5691300,6166300,4638600,4624900,26926000,13699000,16846000,9331100,35531000,9982800,12458000,15472000
CP2S1,CYP2S1,19998000,2518300,2496300,453090,8714900,2234700,43548000,1760100,2084900,893270,282190,1977800,520010,152590,3833400,1889700,2310200,2048600,2003800,504840,937380,3068700
HEP2,SERPIND1,6569900,11940000,18174000,7962400,9956500,8096200,7306400,26168000,7421300,330780000,7109500,11144000,11926000,7799600,3219200,8598600,7385700,570800000,11133000,228410000,307310000,6616700
GALE,GALE,10293000,632040,9820200,3331200,1985200,11580000,6521300,4149400,31602000,17812000,18080000,17694000,11399000,799020,17798000,19958000,42392000,28905000,10235000,17161000,8903200,26186000
CAH3,CA3,3188700,4868000,24459000,2866100,2894200,5430200,4913400,1280700,1973300,6967400,2046800,2198400,2291300,3918700,46802000,3053700,5428800,6736300,422540000,4682700,9111300,6828900
GSTM3,GSTM3,21038000,11981000,43716000,12163000,223550000,194550000,20641000,33330000,4214300,10879000,2022600,4846800,11184000,2743300,15496000,10270000,4540900,7790100,44356000,23278000,28148000,40274000
S10A6,S100A6,114110000,129250000,188000000,218680000,206180000,735680000,551950000,30757000,638720000,NA,334080000,130130000,786770000,147070000,34815000,546720000,1992300000,6228900000,1250600000,2123000000,1126100000,2041400000
SYUG,SNCG,4801100,39540000,5482000,2571500,4152500,977630,2868700,1723500,4729700,10284000,498570,3400900,7476500,517230,3374800,2816400,34425000,175950000,6707400,2364200,15616000,240480000
NAPSA,NAPSA,52714000,10757000,60792000,49875000,29808000,17307000,28426000,42568000,202590000,68631000,26156000,670140000,188040000,22768000,223950000,7863500,136160000,164320000,34858000,387000000,20014000,143050000
RAGE,AGER,9226500,1356100,6940800,15776000,375900,13941000,NA,4948700,1893600,1513600,4664600,5126300,126840000,1579200,17874000,8901900,4039600,1621800,17838000,85539000,38167000,133660000
GSH0,GCLM,8366200,33594000,4566600,7059300,179790000,44589000,11994000,6600400,9535300,6347100,4059500,4521700,4518900,3342400,4658100,3122400,4766900,12291000,4727000,9907800,8201400,10538000
NB5R2,CYB5R2,14657000,12347000,2562300,4415000,3325200,19435000,28496000,8307100,4430400,1796700,3124600,2950600,1315300,79258,4632000,1698600,860910,71211,5310800,2812700,2769200,1972300
DAF,CD55,4803700,6832100,2462200,6691000,6566000,8143000,8542100,1847500,12339000,12349000,14490000,8609200,7948400,1226700,9287400,2247300,135660000,14575000,4349500,15203000,10354000,32681000
IBP2,IGFBP2,6821300,38437000,1715800,52356000,8226800,3446600,25560000,5813500,984190,1527500,549400,1045500,2358200,2864400,2569700,1096900,7839500,5432400,3280700,3593200,5078400,6944200
RABP2,CRABP2,48779000,8754500,12091000,10457000,18725000,6372300,12260000,14371000,199260000,26911000,12375000,2242300,41725000,20488000,7490500,3919600,35058000,853960000,8368800,39392000,51614000,319490000
PIR,PIR,5420500,15017000,6874800,12860000,21294000,52302000,1856600,2366600,1731300,1133900,3593900,2394200,853310,2642600,1763800,2038700,11230000,625120,5112000,2760400,2928500,3823500
PROF2,PFN2,50896000,35348000,16997000,25431000,112900000,49570000,57304000,9647100,6392500,9625300,5178700,4846800,1757800,1555100,9665400,3766500,11327000,34000000,14903000,12410000,22499000,7891900
CYTA,CSTA,12496000,109550000,92335000,58400000,26164000,147810000,185870000,19720000,4071300,7194700,12870000,4298100,19836000,8728200,19533000,13445000,6281700,34999000,11105000,21436000,8955200,9282100
S10A4,S100A4,35094000,36787000,49146000,73049000,63485000,104340000,38937000,44979000,98035000,165940000,48108000,37322000,59036000,43259000,46275000,38145000,441500000,1313600000,127710000,75724000,131050000,210590000
BID,BID,19058000,37894000,18386000,20256000,36331000,47482000,84846000,12619000,12670000,12001000,4280300,5905200,8345300,7178900,18318000,2992000,13221000,16005000,5691100,4336200,8923500,10866000
NMES1,NMES1,10451000,5754400,624580,429810,6802000,12054000,3811600,3205900,55656000,45441000,10062000,5511300,12655000,NA,2550400,4574400,8461600,37282000,3604100,10418000,13767000,58358000
PGDH,HPGD,1571400,3333800,586460,1293000,6670300,466230,1629200,2432100,34911000,6101200,453000,3164300,2446300,901870,3354700,1142700,28381000,5512600,389140,1446200,3336700,4404600
RCC2,RCC2,33837000,48626000,14675000,49942000,122340000,43064000,49420000,15530000,19721000,16487000,4841100,8981600,11404000,7284500,15194000,7081900,25962000,20422000,14681000,18845000,23630000,24620000
ELNE,ELANE,30263000,99944000,432610000,209400000,126540000,60215000,129730000,37554000,4885000,13733000,16701000,83319000,22512000,148750000,15984000,59952000,55109000,52848000,83598000,10992000,21046000,73076000
CO5A2,COL5A2,3420200,6697900,2832500,4434600,11256000,5950700,6309400,7702800,8458200,2845600,2418600,1222700,768950,525630,570280,670080,1874700,1905700,1252300,1040600,2864200,2263800
FABP5,FABP5,269430000,232770000,604790000,148840000,379420000,462850000,337450000,60291000,58435000,169470000,51592000,50642000,44751000,25951000,71329000,57662000,56945000,160290000,107400000,109660000,113170000,400180000
CALL3,CALML3,187420000,104570000,53768000,30486000,138280000,237280000,89034000,18968000,58073000,53646000,15680000,6177200,26079000,40068000,17223000,26661000,32356000,64102000,6114900,44832000,59087000,59284000
K1C16,KRT16,6827100,2600700,17325000,6364800,9961000,42493000,1110800,6304200,2623400,1474100,19122000,9718800,960270,477230,2930800,2494000,2259800,1921400,1536400,3404400,2724100,3730600
BLMH,BLMH,26784000,73856000,15695000,19143000,107890000,30761000,57287000,18834000,29671000,22176000,6652200,9980100,8514900,4488000,10342000,3831400,17973000,24162000,12347000,11047000,16068000,31470000
COMP,COMP,19730000,2550900,4203500,8442100,1168100,13531000,9728900,32377000,8615000,7244400,24074000,800480,564700,2871100,3464700,421690,510000,NA,2275800,1289600,2542600,628540
ERMP1,ERMP1,12974000,5931100,4736000,5638600,8475000,11996000,11029000,77962000,7269200,3212600,4192100,7958400,3550800,7514400,5628700,3961300,8932400,4904700,2807600,6213400,7783600,11307000
POSTN,POSTN,156350000,118250000,81256000,68919000,221050000,122100000,64433000,267420000,73088000,104370000,26445000,21820000,10487000,49796000,56433000,11779000,105780000,52724000,55546000,21559000,28535000,57622000
SERC,PSAT1,6275500,25451000,1544800,5794400,56880000,18873000,40268000,6226200,16924000,8953300,1160800,3805100,469480,337800,1555600,1942100,15405000,15024000,1045000,4197000,9512700,20699000
H4,H4C1,3510500,29811000,17985000,46779000,43112000,92232000,29178000,30871000,11491000,14536000,1878900,2329100,7835100,24022000,17628000,847770,22637000,17443000,10623000,11396000,19478000,21845000
ES8L2,EPS8L2,3111800,915030,6901000,1203400,7958900,3145300,7561500,672120,1238400,6773300,3282200,3232100,5248000,1312900,8710200,3472300,17320000,41364000,1311900,11406000,10813000,36399000
SSDH,ALDH5A1,9995300,3068700,2881000,4246700,7709600,14191000,7452600,1985900,140440000,6779000,5641100,6918600,8142500,NA,12153000,1844200,14656000,7446200,7174000,11399000,7887300,17456000
MRP,MARCKSL1,7402300,13094000,4761400,20025000,50013000,4525900,17454000,2095900,4653300,4562900,2135700,1985300,3500800,2220200,4300200,4736200,12938000,7454800,2070400,4027500,6699400,14841000
AAAT,SLC1A5,2783700,54411000,8609700,4375100,21272000,7704700,35750000,7703100,7039000,6401200,1770300,7096300,1879100,1512200,12333000,3108100,6459300,9360800,5867100,7771300,2499700,18256000
K2C8,KRT8,105310000,13136000,16481000,39733000,63234000,17647000,260200000,7253100,135980000,155370000,103770000,185990000,76614000,21794000,175500000,192010000,455210000,291810000,75386000,288540000,254470000,83312000
NDRG1,NDRG1,244130000,563980000,135910000,192230000,215760000,1090300000,359950000,65275000,234670000,77187000,76569000,45142000,122230000,27977000,80237000,35573000,115810000,240870000,104790000,75307000,59262000,552760000
DQB1,HLA-DQB1,1640100,557700,6789000,1108800,3315400,11004000,12933000,3336900,30819000,4240600,8350900,12084000,4732000,851860,11254000,7410600,7286200,2138400,5080200,45397000,1476000,50331000
MRC1,MRC1,5305800,2398500,11703000,4709600,9046500,15974000,10326000,15508000,11905000,88003000,6759100,12830000,9991100,4834900,23502000,3544800,33305000,37995000,17552000,46459000,15156000,33267000
PEDF,SERPINF1,41921000,154380000,75269000,50642000,108890000,106840000,101080000,280150000,62009000,38345000,43280000,109330000,29926000,27734000,37316000,21015000,34572000,36881000,40312000,38562000,67629000,30426000
NPC2,NPC2,81257000,83780000,130360000,82688000,119190000,91764000,165610000,84195000,169640000,379450000,54875000,221600000,163140000,46604000,205090000,46495000,463070000,1497100000,92734000,238840000,155120000,54992000
AL3B1,ALDH3B1,2907700,2377500,2709200,74114,1368300,169480,712730,445980,2055500,1231500,1204400,1643200,1202400,1921200,1771200,552780,2673000,13132000,5995600,6517900,3132100,5583600
DLG1,DLG1,9407500,6001000,4921300,9024400,16276000,34873000,14494000,7803100,2806200,6137100,3225600,3096700,4066000,1553000,3877600,3194800,4475000,12130000,3854600,4255600,5670300,11526000
NID2,NID2,2544300,13764000,9455900,13546000,27216000,18178000,9907700,15844000,4048600,5322000,3158900,2594100,2154800,4709900,8415700,2109800,8675000,8663600,4525000,7981800,6816300,5898600
STRN,STRN,2190100,6280600,4594600,4167700,11783000,7797000,8357400,4370800,8592100,21059000,10824000,29862000,2238200,1509300,40116000,15066000,5774200,50308000,4482000,12612000,5874900,14869000
CD166,ALCAM,50891000,24572000,6322400,19490000,5336400,31384000,65378000,8306000,4572600,17547000,3794700,4119600,16837000,1361500,9999800,3170000,22296000,9305500,12892000,22572000,9824900,5859300
GPX7,GPX7,13590000,16425000,3851800,14105000,20343000,13097000,11834000,15293000,6097800,10371000,2365800,8455500,4344600,278980,3164900,1258100,6162200,9732100,3505200,2068100,8349000,7862600
GOLM1,GOLM1,1340400,3529600,319590,1571600,909790,1012600,1589400,1298500,5689200,1819200,2136200,6755800,3350300,882600,2263300,2350400,8154900,9645500,1431900,1060200,3517100,2767500
MUC1,MUC1,8260000,10917000,7142400,3642800,14976000,12216000,9519500,5506300,49468000,9351700,20448000,22568000,20354000,11903000,45482000,18801000,59342000,24665000,6741300,6515900,9416400,16488000
FBLN1,FBLN1,133360000,469290000,227700000,355370000,215010000,501990000,408870000,486500000,192300000,312660000,167270000,54878000,43283000,42586000,173130000,34512000,105590000,70034000,335540000,123420000,159280000,109870000
PYGB,PYGB,33411000,24827000,24312000,21405000,32072000,16278000,14132000,29848000,113570000,38576000,49367000,32833000,24303000,4622300,131030000,46347000,109790000,64860000,58803000,27524000,44475000,121620000
THIC,ACAT2,23335000,66204000,6828400,29452000,39819000,60122000,218060000,15489000,24740000,34267000,8879000,10309000,7017300,21383,34776000,9462900,65767000,39920000,26366000,21785000,11725000,23511000
FMOD,FMOD,943990,13623000,16837000,7047600,14423000,5484400,2881400,26931000,7364600,5001500,2367300,819260,2006800,6206600,1990400,2262400,13904000,5099200,2938000,360980,8952100,2258300
RS11,RPS11,8190500,14395000,4912700,254010000,24889000,15823000,14342000,22983000,15786000,22109000,4962400,9231600,8137000,3935300,11914000,1966600,15943000,32221000,4392400,10229000,16689000,20967000
TNAP2,TNFAIP2,9250500,28321000,5171700,13053000,11078000,11039000,16553000,2073300,4728400,6194300,3101200,6634200,3817500,3926700,3786400,4921900,5580400,3266400,8579300,3626300,2466500,7016400
CHMP5,CHMP5,16121000,3711100,869290,19739000,3287600,7225200,9421100,1714900,2639800,2688100,955750,1136300,3078200,36957,2605100,581230,5711800,9684500,1906900,4507500,3631300,4631100
CBPM,CPM,1537300,708120,3615000,641060,2196300,2350100,1654500,1473100,7398600,4566800,2228300,2017600,1140900,844090,3077300,1335600,1520800,8179300,2936000,5458900,3954900,16795000
NASP,NASP,17714000,31061000,9331100,20518000,35416000,26330000,203690000,10728000,16024000,12896000,3843600,5314100,8501000,21824000,10970000,4354400,23724000,62135000,9591200,22605000,20945000,28155000
SAHH3,AHCYL2,2534000,4794700,2704100,4716100,2755500,797510,3165800,6446700,12528000,4729100,3329900,4113900,10062000,1332000,13089000,2952000,10122000,2611100,971630,3647900,2228700,53762000
TETN,CLEC3B,6752400,27591000,21686000,10694000,11884000,11214000,4999600,28300000,16239000,10625000,4030100,3838800,3754200,4800300,7357200,2035700,7184500,6137300,4689700,2226900,7400300,7003600
PCP,PRCP,15016000,10833000,37699000,18094000,18119000,12667000,91785000,14958000,12812000,3755200,1974400,13779000,7695500,5402600,16854000,5187300,22379000,22995000,10599000,8981300,6896300,16214000
SPRC,SPARC,10432000,24068000,21606000,22999000,44424000,30545000,17206000,42950000,14185000,15421000,11557000,8164200,2972500,3885600,11739000,6613300,15672000,9451100,6651500,5720300,25862000,14128000
UGDH,UGDH,50929000,45222000,40956000,43872000,682140000,137730000,368330000,67281000,118740000,164920000,144840000,38474000,55877000,16711000,83565000,28795000,69263000,85281000,42301000,28256000,43628000,108770000
CTHR1,CTHRC1,5863100,22556000,8263800,19529000,26736000,25069000,19829000,25801000,8075400,10523000,6393400,14404000,1312500,2817600,7530700,1941500,11617000,13784000,7786200,7311500,11508000,5317600
FLNC,FLNC,12368000,9900500,18082000,6548100,21414000,30821000,24220000,10627000,43900000,29758000,14076000,24202000,23532000,5263600,21649000,7504700,47013000,283010000,7189000,18685000,22117000,16703000
PLOD2,PLOD2,5641000,39681000,6664800,36732000,48450000,14890000,14929000,12758000,7749600,13091000,5508600,3287400,3029000,14850000,2947400,6420900,17844000,9480800,3654900,4565100,24976000,13277000
HS105,HSPH1,17511000,117680000,10060000,39415000,39007000,39361000,65808000,12724000,26303000,22716000,11692000,7705900,11875000,5264600,9924400,9677000,18529000,35128000,10495000,11410000,21403000,47203000
LAD1,LAD1,4563500,7342500,2663900,9151800,11888000,32116000,15098000,1088400,4002600,1910000,2011000,1441700,4734100,1607800,7022300,5273100,3623400,10018000,439860,9730200,7489200,1970000
LY75,LY75,5734900,7677300,4543300,4414300,9047100,9581200,11314000,8221100,2844200,5939200,2253100,2827200,3249500,1325200,2133700,1776100,2651300,5361200,3481400,3988200,3573200,2932400
CDD,CDA,3359500,5891400,38834000,28904000,19353000,8291200,15348000,4827800,187350000,50287000,10609000,9268000,3731200,34300000,6902800,7981900,53067000,28731000,13065000,5171200,72301000,38586000
CO1A1,COL1A1,9097400,99749000,69780000,56627000,83993000,91274000,28928000,87001000,39276000,62291000,33326000,5341100,3968100,17167000,10047000,6462500,27631000,39420000,22165000,11404000,66196000,41774000
MTOR,MTOR,468330,484020,1135000,800160,1217100,1266600,1022100,11651000,8433600,13071000,7830700,11398000,10145000,3456400,11798000,240320,1496500,2315900,676110,974470,1117000,2233600
QSOX1,QSOX1,18096000,26308000,8003000,6979500,8915200,31640000,37304000,34223000,10370000,4151700,13536000,3615200,10169000,12213000,7735600,6023200,8002700,3954700,8311000,21563000,8976600,7499100
ITA6,ITGA6,11734000,24986000,9673500,6334000,5898200,31087000,19025000,5694400,6947600,8331200,1876400,6267100,2587200,5109400,7324100,3952400,7261400,6394000,3705900,8487400,8895600,7045600
CSPG2,VCAN,43304000,228090000,141930000,197410000,196820000,167790000,110800000,233570000,157050000,206470000,87750000,22307000,5537800,30307000,76931000,35480000,88094000,42047000,22302000,90461000,64749000,45591000
PRTN3,PRTN3,22866000,85796000,336150000,231040000,128880000,65550000,171840000,52462000,34685000,18988000,11439000,68276000,13322000,184240000,84237000,51214000,54499000,26249000,109670000,29285000,66987000,61014000
FHL1,FHL1,36134000,11017000,31269000,12547000,16312000,8291800,4282600,62867000,19033000,31776000,7262600,15428000,54199000,3298900,139590000,13252000,32467000,41109000,165120000,104240000,54601000,69567000
GALT7,GALNT7,2530500,3296100,2002000,5330300,2922600,2864500,7600700,4104000,8623000,4319400,1127100,9172200,3729300,1247200,5175500,4237300,15291000,43379000,2900600,10256000,8610600,6939400
PLD3,PLD3,31572000,32449000,31329000,47030000,69998000,23662000,405060000,31246000,32730000,81904000,13818000,17515000,13753000,10782000,19710000,12942000,63446000,30449000,18317000,77813000,32701000,79054000
MRP1,ABCC1,6341100,8476200,6695800,6764700,46924000,20190000,20807000,5709300,9523100,8140800,3482000,3101100,5515000,2150000,6793100,3576000,11810000,11715000,6984900,2675200,7368000,8771500
GSH1,GCLC,17933000,11792000,8992500,12194000,27851000,109020000,62263000,14036000,13846000,15237000,13854000,8385000,7236900,2763800,7113700,8714300,22581000,22157000,11846000,33525000,10672000,21003000
LAMA4,LAMA4,5151400,11472000,11006000,13750000,36328000,16709000,11540000,11341000,7302400,1959900,2232600,2208900,4431500,4287200,5918600,3211300,5901900,9253000,10206000,7119500,10764000,13706000
TENA,TNC,61333000,32843000,41807000,65023000,261490000,76141000,47467000,32123000,39222000,30542000,8770200,4462400,11087000,89786000,16264000,9506900,23856000,77039000,27388000,56546000,23086000,49189000
GPC6,GPC6,72420,3268300,6305800,4429600,5173400,7389700,3886000,6106300,1655400,1915400,249510,1172000,NA,758900,203290,415510,4095400,2568400,5624800,1287500,5284800,2453000
PYRG1,CTPS1,5293000,27074000,3637800,6875200,14745000,9147400,27523000,4608200,11871000,3956400,2254700,3856600,2654000,1747500,3985100,1386200,7549000,7145700,2382900,3485700,7267100,15349000
ITA3,ITGA3,3395900,5603000,2755500,2982900,4109900,6170200,2878700,10518000,2271000,6523000,1653500,1686500,5955900,3094100,4495000,2681600,53078000,47260000,3334600,5781500,8780300,8154600
PSB5,PSMB5,11917000,26128000,9203600,22419000,36359000,19601000,34667000,11439000,5079900,8883200,4919300,10205000,5050200,6493400,6288100,4117100,21652000,15920000,14982000,4607800,11377000,11411000
P3H1,P3H1,7201800,22336000,6058600,13326000,30131000,15748000,26784000,19473000,8148800,9854000,3966300,4506300,2147800,2368500,5960300,2638200,15874000,15790000,5116000,5672400,15138000,10429000
SEPT5,SEPTIN5,11189000,8686000,4421600,10188000,15189000,13219000,13838000,14957000,12207000,3479300,2146300,2104800,6300500,3180500,4853700,985240,2624400,2473700,3579200,1459100,4414300,20258000
CNOT1,CNOT1,10379000,13191000,14523000,10158000,9891100,3230400,4742800,167210000,5742500,3201600,6845300,7208300,4981600,640910,9323000,1319100,5106500,5295800,5405600,2985800,4388700,6907000
AT2C1,ATP2C1,6297400,11463000,5672300,7913700,13166000,7613700,11428000,15799000,2877800,2563600,2203000,4502900,3016800,7376200,3275900,3360400,3586800,12068000,2065600,3080700,4096200,6760600
S10AD,S100A13,32206000,55347000,16786000,12596000,29033000,24529000,22065000,25493000,93260000,61068000,15266000,18333000,39475000,1354600,40361000,13249000,122270000,213860000,53356000,75538000,52851000,69483000
ABRAL,ABRACL,135630000,200590000,73709000,91642000,153230000,126300000,116690000,27281000,56086000,95332000,24917000,29732000,21816000,21882000,50391000,17106000,104960000,89259000,36186000,44916000,20515000,97238000
NT5D1,NT5DC1,6375800,35525000,11671000,11312000,5693800,18934000,25158000,24920000,11303000,8636100,3923000,4447400,3059500,2653900,9384000,4596600,12140000,13709000,8750600,9299900,3332700,12633000
TXNL1,TXNL1,20054000,66153000,30340000,54092000,76486000,65022000,24428000,28497000,9424000,41842000,16100000,13346000,5766700,27214000,25330000,6554400,11848000,36441000,22707000,30450000,11400000,24749000
G6PD,G6PD,30402000,47471000,53850000,47290000,478130000,179170000,67990000,43551000,49291000,58255000,27914000,29509000,19511000,57068000,38655000,24335000,40065000,56434000,47104000,105520000,53298000,129610000
EMAL3,EML3,2410600,7182500,4228600,2883500,6578900,9273000,2456300,3679400,33839000,5940100,891950,2620600,19030000,3527200,6194600,10319000,8084100,5981900,6208500,34560000,5113100,10011000
ANK3,ANK3,4848400,4453800,3694200,688420,4671400,3836200,2732800,5272100,58779000,705150,4399500,714050,2207600,16844000,3644100,1009100,1415900,9742200,3344000,4699700,1859600,9437000
CO1A2,COL1A2,12388000,45529000,23749000,25112000,28548000,36417000,11211000,47855000,20256000,26396000,23232000,13110000,10463000,9617200,4171300,10178000,12326000,6666900,7074900,5948200,15541000,15316000
TRIM2,TRIM2,10164000,6520000,1223200,5256300,30803000,4900200,16438000,31817000,2802200,4558100,19172000,1767300,2442500,240250,3970800,4152700,1459400,8819200,9099500,9812000,8105800,7279000
TMTC3,TMTC3,8645500,11610000,5016500,8309600,12408000,5615800,7564000,6104200,2337000,1086000,2140400,3245100,2596400,2893900,4903300,2444800,4083400,9263300,4175200,2871500,4952200,4019500
CD2AP,CD2AP,7028600,8586700,9249000,7341500,9251700,12682000,17585000,12663000,33095000,23806000,5684200,7671300,11313000,2642200,37176000,9629400,29864000,46457000,8077700,22848000,13062000,79300000
KPCA,PRKCA,6762300,22830000,25745000,18279000,19768000,29556000,6654900,10453000,7716500,10391000,3217700,3493100,5187900,6578100,6680200,9768400,16009000,6677000,9576900,3779400,8062000,12340000
HMOX2,HMOX2,7766600,8159600,8862000,5607300,10890000,10551000,16195000,6918500,141790000,14068000,4486500,6163400,5161600,3604300,11733000,3836300,14309000,20468000,8161400,14735000,12235000,32139000
EFGM,GFM1,3923700,9062800,54750000,6046000,108450000,122920000,119950000,108470000,115640000,85319000,1401900,2766500,32869000,1114600,6579300,28184000,9144800,65967000,3629200,42544000,8356100,16832000
SPB3,SERPINB3,37804000,8653400,68468000,17434000,21015000,28559000,8895600,20690000,17309000,3093000,859870,3043000,7932600,13596000,3254000,28076000,23154000,20457000,1971200,11154000,14193000,18794000
TP53B,TP53BP1,4061900,6799200,4212600,2159200,8007900,3855800,8725500,2543600,1415600,3564500,972880,706790,2013100,1839600,2405200,471680,5848700,2187600,2349400,3017600,2003900,3055000
SPTB1,SPTB,4990300,6237900,7063000,6291200,100440000,133410000,114410000,3286900,6912500,8784300,2049700,6063800,7371900,43957000,4460400,4848600,4477800,5616800,5000300,8008100,6938500,10400000
